candidate_id,full_name,email,phone,department,applied_date
C0001,Aisha Adams,aisha.adams1@example.com,+1-555-100-1000,Data Analytics,2025-01-06
C0002,Ben Davis,ben.davis2@example.com,+1-555-100-1001,Engineering,2025-01-08
C0003,Carla Green,carla.green3@example.com,+1-555-100-1002,Finance,2025-01-10
C0004,Dinesh Jones,dinesh.jones4@example.com,+1-555-100-1003,Human Resources,2025-01-12
C0005,Elena Chen,elena.chen5@example.com,+1-555-100-1004,Marketing,2025-01-14
C0006,Fatima Foster,fatima.foster6@example.com,+1-555-100-1005,Operations,2025-01-16
C0007,Grace Ibrahim,grace.ibrahim7@example.com,+1-555-100-1006,Product,2025-01-18
C0008,Hugo Bennett,hugo.bennett8@example.com,+1-555-100-1007,Sales,2025-01-20
C0009,Iris Evans,iris.evans9@example.com,+1-555-100-1008,Data Analytics,2025-01-22
C0010,Jonah Harris,jonah.harris10@example.com,+1-555-100-1009,Engineering,2025-01-24
C0011,Aisha Adams,aisha.adams11@example.com,+1-555-100-1010,Finance,2025-01-27
C0012,Ben Davis,ben.davis12@example.com,+1-555-100-1011,Human Resources,2025-01-29
C0013,Carla Green,carla.green13@example.com,+1-555-100-1012,Marketing,2025-01-31
C0014,Dinesh Jones,dinesh.jones14@example.com,+1-555-100-1013,Operations,2025-02-02
C0015,Elena Chen,elena.chen15@example.com,+1-555-100-1014,Product,2025-02-04
C0016,Fatima Foster,fatima.foster16@example.com,+1-555-100-1015,Sales,2025-02-06
C0017,Grace Ibrahim,grace.ibrahim17@example.com,+1-555-100-1016,Data Analytics,2025-02-08
C0018,Hugo Bennett,hugo.bennett18@example.com,+1-555-100-1017,Engineering,2025-02-10
C0019,Iris Evans,iris.evans19@example.com,+1-555-100-1018,Finance,2025-02-12
C0020,Jonah Harris,jonah.harris20@example.com,+1-555-100-1019,Human Resources,2025-02-14
C0021,Aisha Adams,aisha.adams21@example.com,+1-555-100-1020,Marketing,2025-02-17
C0022,Ben Davis,ben.davis22@example.com,+1-555-100-1021,Operations,2025-02-19
C0023,Carla Green,carla.green23@example.com,+1-555-100-1022,Product,2025-02-21
C0024,Dinesh Jones,dinesh.jones24@example.com,+1-555-100-1023,Sales,2025-02-23
C0025,Elena Chen,elena.chen25@example.com,+1-555-100-1024,Data Analytics,2025-02-25
C0026,Fatima Foster,fatima.foster26@example.com,+1-555-100-1025,Engineering,2025-02-27
C0027,Grace Ibrahim,grace.ibrahim27@example.com,+1-555-100-1026,Finance,2025-03-01
C0028,Hugo Bennett,hugo.bennett28@example.com,+1-555-100-1027,Human Resources,2025-03-03
C0029,Iris Evans,iris.evans29@example.com,+1-555-100-1028,Marketing,2025-03-05
C0030,Jonah Harris,jonah.harris30@example.com,+1-555-100-1029,Operations,2025-03-07
C0031,Aisha Adams,aisha.adams31@example.com,+1-555-100-1030,Product,2025-03-10
C0032,Ben Davis,ben.davis32@example.com,+1-555-100-1031,Sales,2025-03-12
C0033,Carla Green,carla.green33@example.com,+1-555-100-1032,Data Analytics,2025-03-14
C0034,Dinesh Jones,dinesh.jones34@example.com,+1-555-100-1033,Engineering,2025-03-16
C0035,Elena Chen,elena.chen35@example.com,+1-555-100-1034,Finance,2025-03-18
C0036,Fatima Foster,fatima.foster36@example.com,+1-555-100-1035,Human Resources,2025-03-20
C0037,Grace Ibrahim,grace.ibrahim37@example.com,+1-555-100-1036,Marketing,2025-03-22
C0038,Hugo Bennett,hugo.bennett38@example.com,+1-555-100-1037,Operations,2025-03-24
C0039,Iris Evans,iris.evans39@example.com,+1-555-100-1038,Product,2025-03-26
C0040,Jonah Harris,jonah.harris40@example.com,+1-555-100-1039,Sales,2025-03-28
